2021-08-08 21:11:47,058 - log - INFO - 
2021-08-08 21:12:08,244 - log - INFO - (sp mode) 第 0 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,255 - log - INFO - (sp mode) 第 1 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,266 - log - INFO - (sp mode) 第 2 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,278 - log - INFO - (sp mode) 第 3 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,289 - log - INFO - (sp mode) 第 4 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,301 - log - INFO - (sp mode) 第 5 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,312 - log - INFO - (sp mode) 第 6 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,323 - log - INFO - (sp mode) 第 7 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,334 - log - INFO - (sp mode) 第 8 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,346 - log - INFO - (sp mode) 第 10 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,357 - log - INFO - (sp mode) 第 11 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,368 - log - INFO - (sp mode) 第 12 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,379 - log - INFO - (sp mode) 第 13 号筛选条件(类别1)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,390 - log - INFO - (sp mode) 第 14 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
2021-08-08 21:12:08,402 - log - INFO - (sp mode) 第 15 号筛选条件(类别2)耗时 0.01 秒, 筛选结果为 0 条数据
