2021-09-19 08:57:38,918 - eat - INFO - 
2021-09-19 08:59:08,324 - eat - INFO - (sp mode) 第 100 号筛选条件(类别3), 条件范围(09:29:31~09:29:32), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,336 - eat - INFO - (sp mode) 第 103 号筛选条件(类别3), 条件范围(09:31:08~09:31:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,435 - eat - INFO - (sp mode) 第 120 号筛选条件(类别3), 条件范围(09:39:40~09:39:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,449 - eat - INFO - (sp mode) 第 123 号筛选条件(类别3), 条件范围(09:41:28~09:41:29), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,924 - eat - INFO - (sp mode) 第 193 号筛选条件(类别3), 条件范围(10:21:54~10:21:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,561 - eat - INFO - (sp mode) 第 314 号筛选条件(类别3), 条件范围(11:18:42~11:18:55), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,664 - eat - INFO - (sp mode) 第 330 号筛选条件(类别3), 条件范围(11:22:58~11:23:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:09,780 - eat - INFO - (sp mode) 第 355 号筛选条件(类别3), 条件范围(11:29:27~11:29:32), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,030 - eat - INFO - (sp mode) 第 420 号筛选条件(类别3), 条件范围(13:42:48~13:43:02), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,095 - eat - INFO - (sp mode) 第 433 号筛选条件(类别3), 条件范围(13:45:01~13:45:03), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,275 - eat - INFO - (sp mode) 第 462 号筛选条件(类别3), 条件范围(14:00:46~14:00:56), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,386 - eat - INFO - (sp mode) 第 474 号筛选条件(类别3), 条件范围(14:07:24~14:07:28), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,657 - eat - INFO - (sp mode) 第 504 号筛选条件(类别3), 条件范围(15:33:38~15:33:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,665 - eat - INFO - (sp mode) 第 505 号筛选条件(类别3), 条件范围(15:33:49~15:34:06), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,798 - eat - INFO - (sp mode) 第 526 号筛选条件(类别3), 条件范围(15:38:20~15:38:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,886 - eat - INFO - (sp mode) 第 544 号筛选条件(类别3), 条件范围(15:44:18~15:44:20), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:10,954 - eat - INFO - (sp mode) 第 558 号筛选条件(类别3), 条件范围(15:47:48~15:48:07), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,077 - eat - INFO - (sp mode) 第 583 号筛选条件(类别3), 条件范围(16:02:31~16:02:36), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,088 - eat - INFO - (sp mode) 第 585 号筛选条件(类别3), 条件范围(16:02:52~16:03:01), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,098 - eat - INFO - (sp mode) 第 587 号筛选条件(类别3), 条件范围(16:03:13~16:03:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,142 - eat - INFO - (sp mode) 第 596 号筛选条件(类别3), 条件范围(16:05:08~16:05:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,153 - eat - INFO - (sp mode) 第 598 号筛选条件(类别3), 条件范围(16:05:24~16:05:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,218 - eat - INFO - (sp mode) 第 611 号筛选条件(类别3), 条件范围(16:07:40~16:07:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,318 - eat - INFO - (sp mode) 第 631 号筛选条件(类别3), 条件范围(16:14:28~16:14:31), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,349 - eat - INFO - (sp mode) 第 637 号筛选条件(类别3), 条件范围(16:16:04~16:16:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,359 - eat - INFO - (sp mode) 第 639 号筛选条件(类别3), 条件范围(16:16:25~16:16:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,624 - eat - INFO - (sp mode) 第 697 号筛选条件(类别3), 条件范围(16:49:35~16:49:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:11,858 - eat - INFO - (sp mode) 第 750 号筛选条件(类别3), 条件范围(17:11:39~17:11:42), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:12,277 - eat - INFO - (sp mode) 第 831 号筛选条件(类别3), 条件范围(17:56:15~17:56:18), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:12,293 - eat - INFO - (sp mode) 第 835 号筛选条件(类别3), 条件范围(17:57:25~17:57:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:12,320 - eat - INFO - (sp mode) 第 842 号筛选条件(类别3), 条件范围(18:00:55~18:01:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:12,778 - eat - INFO - (sp mode) 第 974 号筛选条件(类别3), 条件范围(18:59:59~19:00:02), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:13,082 - eat - INFO - (sp mode) 第 1061 号筛选条件(类别3), 条件范围(19:30:10~19:30:12), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:13,140 - eat - INFO - (sp mode) 第 1080 号筛选条件(类别3), 条件范围(19:38:08~19:38:28), 耗时 0.0 秒, 筛选结果为 0 条数据
