2021-09-18 22:45:40,301 - log - INFO - 
2021-09-18 22:51:15,412 - log - INFO - 
2021-09-18 22:52:41,249 - log - INFO - 
2021-09-18 22:53:07,488 - log - INFO - 
2021-09-18 22:55:07,202 - log - INFO - (sp mode) 第 388 号筛选条件(类别1, 条件范围(12:10:26~12:12:38)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,204 - log - INFO - (sp mode) 第 389 号筛选条件(类别2, 条件范围(12:12:39~12:12:45)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,206 - log - INFO - (sp mode) 第 390 号筛选条件(类别1, 条件范围(12:12:48~12:12:56)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,208 - log - INFO - (sp mode) 第 391 号筛选条件(类别1, 条件范围(12:13:04~12:13:06)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,210 - log - INFO - (sp mode) 第 392 号筛选条件(类别1, 条件范围(12:13:14~12:13:17)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,212 - log - INFO - (sp mode) 第 393 号筛选条件(类别1, 条件范围(12:13:19~12:13:45)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,214 - log - INFO - (sp mode) 第 394 号筛选条件(类别2, 条件范围(12:13:48~12:13:53)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,215 - log - INFO - (sp mode) 第 395 号筛选条件(类别1, 条件范围(13:35:59~13:36:37)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,218 - log - INFO - (sp mode) 第 396 号筛选条件(类别2, 条件范围(13:36:38~13:36:43)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,220 - log - INFO - (sp mode) 第 397 号筛选条件(类别1, 条件范围(13:36:44~13:36:50)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,222 - log - INFO - (sp mode) 第 398 号筛选条件(类别2, 条件范围(13:36:57~13:37:00)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,224 - log - INFO - (sp mode) 第 399 号筛选条件(类别1, 条件范围(13:37:27~13:37:33)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,227 - log - INFO - (sp mode) 第 400 号筛选条件(类别2, 条件范围(13:37:34~13:37:35)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,229 - log - INFO - (sp mode) 第 401 号筛选条件(类别1, 条件范围(13:37:37~13:37:43)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,231 - log - INFO - (sp mode) 第 402 号筛选条件(类别2, 条件范围(13:37:45~13:37:47)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,233 - log - INFO - (sp mode) 第 403 号筛选条件(类别1, 条件范围(13:37:48~13:37:50)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,235 - log - INFO - (sp mode) 第 404 号筛选条件(类别2, 条件范围(13:37:59~13:38:03)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,237 - log - INFO - (sp mode) 第 405 号筛选条件(类别2, 条件范围(13:38:05~13:38:09)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,239 - log - INFO - (sp mode) 第 406 号筛选条件(类别1, 条件范围(13:38:18~13:38:21)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,241 - log - INFO - (sp mode) 第 407 号筛选条件(类别2, 条件范围(13:38:28~13:38:30)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,244 - log - INFO - (sp mode) 第 408 号筛选条件(类别1, 条件范围(13:38:36~13:39:03)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,246 - log - INFO - (sp mode) 第 409 号筛选条件(类别2, 条件范围(13:39:05~13:39:10)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,248 - log - INFO - (sp mode) 第 411 号筛选条件(类别1, 条件范围(13:39:53~13:40:05)), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,251 - log - INFO - (sp mode) 第 412 号筛选条件(类别2, 条件范围(13:40:07~13:40:08)), 耗时 0.0 秒, 筛选结果为 0 条数据
