2021-09-18 22:45:40,301 - static - INFO - 
2021-09-18 22:51:15,413 - static - INFO - 
2021-09-18 22:52:41,252 - static - INFO - 
2021-09-18 22:53:07,489 - static - INFO - 
2021-09-18 22:55:07,202 - static - INFO - (sp mode) 第 388 号筛选条件(类别1), 条件范围(12:10:26~12:12:38), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,206 - static - INFO - (sp mode) 第 390 号筛选条件(类别1), 条件范围(12:12:48~12:12:56), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,208 - static - INFO - (sp mode) 第 391 号筛选条件(类别1), 条件范围(12:13:04~12:13:06), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,210 - static - INFO - (sp mode) 第 392 号筛选条件(类别1), 条件范围(12:13:14~12:13:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,212 - static - INFO - (sp mode) 第 393 号筛选条件(类别1), 条件范围(12:13:19~12:13:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,216 - static - INFO - (sp mode) 第 395 号筛选条件(类别1), 条件范围(13:35:59~13:36:37), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,220 - static - INFO - (sp mode) 第 397 号筛选条件(类别1), 条件范围(13:36:44~13:36:50), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,225 - static - INFO - (sp mode) 第 399 号筛选条件(类别1), 条件范围(13:37:27~13:37:33), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,229 - static - INFO - (sp mode) 第 401 号筛选条件(类别1), 条件范围(13:37:37~13:37:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,233 - static - INFO - (sp mode) 第 403 号筛选条件(类别1), 条件范围(13:37:48~13:37:50), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,240 - static - INFO - (sp mode) 第 406 号筛选条件(类别1), 条件范围(13:38:18~13:38:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,244 - static - INFO - (sp mode) 第 408 号筛选条件(类别1), 条件范围(13:38:36~13:39:03), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,249 - static - INFO - (sp mode) 第 411 号筛选条件(类别1), 条件范围(13:39:53~13:40:05), 耗时 0.0 秒, 筛选结果为 0 条数据
