2021-09-19 08:57:38,916 - static - INFO - 
2021-09-19 08:58:52,724 - static - INFO - (sp mode) 第 1 号筛选条件(类别1), 条件范围(08:29:00~08:29:27), 耗时 66.47 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,761 - static - INFO - (sp mode) 第 3 号筛选条件(类别1), 条件范围(08:29:35~08:29:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,772 - static - INFO - (sp mode) 第 5 号筛选条件(类别1), 条件范围(08:30:05~08:30:42), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,777 - static - INFO - (sp mode) 第 6 号筛选条件(类别1), 条件范围(08:30:43~08:32:59), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,793 - static - INFO - (sp mode) 第 9 号筛选条件(类别1), 条件范围(08:33:18~08:34:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,803 - static - INFO - (sp mode) 第 11 号筛选条件(类别1), 条件范围(08:34:17~08:34:26), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,818 - static - INFO - (sp mode) 第 14 号筛选条件(类别1), 条件范围(08:34:44~08:34:48), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,829 - static - INFO - (sp mode) 第 16 号筛选条件(类别1), 条件范围(08:34:54~08:34:57), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,839 - static - INFO - (sp mode) 第 18 号筛选条件(类别1), 条件范围(08:35:06~08:35:10), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,844 - static - INFO - (sp mode) 第 19 号筛选条件(类别1), 条件范围(08:35:13~08:35:15), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,852 - static - INFO - (sp mode) 第 21 号筛选条件(类别1), 条件范围(08:35:20~08:35:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,864 - static - INFO - (sp mode) 第 23 号筛选条件(类别1), 条件范围(08:35:29~08:35:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,876 - static - INFO - (sp mode) 第 25 号筛选条件(类别1), 条件范围(08:35:40~08:36:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,882 - static - INFO - (sp mode) 第 26 号筛选条件(类别1), 条件范围(08:36:11~08:36:25), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,889 - static - INFO - (sp mode) 第 27 号筛选条件(类别1), 条件范围(08:36:27~08:37:07), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,900 - static - INFO - (sp mode) 第 29 号筛选条件(类别1), 条件范围(08:37:14~08:37:15), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,908 - static - INFO - (sp mode) 第 31 号筛选条件(类别1), 条件范围(08:37:41~08:37:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,919 - static - INFO - (sp mode) 第 33 号筛选条件(类别1), 条件范围(08:37:51~08:37:58), 耗时 0.0 秒, 筛选结果为 0 条数据
