2021-08-09 16:12:51,990 - walk - INFO - 
2021-08-09 16:15:17,141 - walk - INFO - 
2021-08-09 16:15:37,825 - walk - INFO - (sp mode) 第 2 号筛选条件(类别2), 条件范围(06:58:48~06:58:54), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:37,907 - walk - INFO - (sp mode) 第 4 号筛选条件(类别2), 条件范围(06:59:08~06:59:14), 耗时 0.04 秒, 筛选结果为 0 条数据
2021-08-09 16:15:37,974 - walk - INFO - (sp mode) 第 6 号筛选条件(类别2), 条件范围(06:59:53~06:59:58), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,034 - walk - INFO - (sp mode) 第 8 号筛选条件(类别2), 条件范围(07:03:37~07:03:38), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,089 - walk - INFO - (sp mode) 第 10 号筛选条件(类别2), 条件范围(07:04:16~07:04:17), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,170 - walk - INFO - (sp mode) 第 13 号筛选条件(类别2), 条件范围(07:07:35~07:07:39), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,224 - walk - INFO - (sp mode) 第 15 号筛选条件(类别2), 条件范围(07:07:43~07:07:44), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,278 - walk - INFO - (sp mode) 第 17 号筛选条件(类别2), 条件范围(07:08:21~07:08:24), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,332 - walk - INFO - (sp mode) 第 19 号筛选条件(类别2), 条件范围(07:08:59~07:08:59), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,413 - walk - INFO - (sp mode) 第 22 号筛选条件(类别2), 条件范围(07:10:17~07:10:24), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,521 - walk - INFO - (sp mode) 第 26 号筛选条件(类别2), 条件范围(07:15:55~07:15:57), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,603 - walk - INFO - (sp mode) 第 29 号筛选条件(类别2), 条件范围(07:16:56~07:16:57), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,658 - walk - INFO - (sp mode) 第 31 号筛选条件(类别2), 条件范围(07:19:53~07:20:01), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,711 - walk - INFO - (sp mode) 第 34 号筛选条件(类别2), 条件范围(07:21:12~07:21:15), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,765 - walk - INFO - (sp mode) 第 37 号筛选条件(类别2), 条件范围(07:22:12~07:22:14), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,818 - walk - INFO - (sp mode) 第 39 号筛选条件(类别2), 条件范围(07:22:36~07:22:38), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,870 - walk - INFO - (sp mode) 第 41 号筛选条件(类别2), 条件范围(07:22:46~07:22:49), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:38,976 - walk - INFO - (sp mode) 第 45 号筛选条件(类别2), 条件范围(07:23:34~07:23:35), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:39,029 - walk - INFO - (sp mode) 第 47 号筛选条件(类别2), 条件范围(07:24:38~07:24:39), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:39,082 - walk - INFO - (sp mode) 第 49 号筛选条件(类别2), 条件范围(07:24:55~07:24:57), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:39,135 - walk - INFO - (sp mode) 第 52 号筛选条件(类别2), 条件范围(07:25:57~07:25:59), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:39,187 - walk - INFO - (sp mode) 第 54 号筛选条件(类别2), 条件范围(07:26:25~07:26:28), 耗时 0.03 秒, 筛选结果为 0 条数据
2021-08-09 16:15:39,240 - walk - INFO - (sp mode) 第 56 号筛选条件(类别2), 条件范围(07:27:13~07:27:17), 耗时 0.03 秒, 筛选结果为 0 条数据
