2021-09-18 22:45:40,302 - walk - INFO - 
2021-09-18 22:51:15,413 - walk - INFO - 
2021-09-18 22:52:41,252 - walk - INFO - 
2021-09-18 22:53:07,490 - walk - INFO - 
2021-09-18 22:55:07,204 - walk - INFO - (sp mode) 第 389 号筛选条件(类别2), 条件范围(12:12:39~12:12:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,214 - walk - INFO - (sp mode) 第 394 号筛选条件(类别2), 条件范围(12:13:48~12:13:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,218 - walk - INFO - (sp mode) 第 396 号筛选条件(类别2), 条件范围(13:36:38~13:36:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,223 - walk - INFO - (sp mode) 第 398 号筛选条件(类别2), 条件范围(13:36:57~13:37:00), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,227 - walk - INFO - (sp mode) 第 400 号筛选条件(类别2), 条件范围(13:37:34~13:37:35), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,231 - walk - INFO - (sp mode) 第 402 号筛选条件(类别2), 条件范围(13:37:45~13:37:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,235 - walk - INFO - (sp mode) 第 404 号筛选条件(类别2), 条件范围(13:37:59~13:38:03), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,238 - walk - INFO - (sp mode) 第 405 号筛选条件(类别2), 条件范围(13:38:05~13:38:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,242 - walk - INFO - (sp mode) 第 407 号筛选条件(类别2), 条件范围(13:38:28~13:38:30), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,246 - walk - INFO - (sp mode) 第 409 号筛选条件(类别2), 条件范围(13:39:05~13:39:10), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,251 - walk - INFO - (sp mode) 第 412 号筛选条件(类别2), 条件范围(13:40:07~13:40:08), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,268 - walk - INFO - (sp mode) 第 422 号筛选条件(类别2), 条件范围(13:43:05~13:43:07), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,274 - walk - INFO - (sp mode) 第 424 号筛选条件(类别2), 条件范围(13:43:37~13:43:38), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,280 - walk - INFO - (sp mode) 第 426 号筛选条件(类别2), 条件范围(13:43:52~13:43:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,285 - walk - INFO - (sp mode) 第 428 号筛选条件(类别2), 条件范围(13:44:19~13:44:21), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,289 - walk - INFO - (sp mode) 第 430 号筛选条件(类别2), 条件范围(13:44:25~13:44:27), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,293 - walk - INFO - (sp mode) 第 432 号筛选条件(类别2), 条件范围(13:44:57~13:45:00), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,300 - walk - INFO - (sp mode) 第 435 号筛选条件(类别2), 条件范围(13:45:49~13:45:51), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,304 - walk - INFO - (sp mode) 第 437 号筛选条件(类别2), 条件范围(13:46:12~13:46:15), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,308 - walk - INFO - (sp mode) 第 439 号筛选条件(类别2), 条件范围(13:46:42~13:46:45), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,312 - walk - INFO - (sp mode) 第 441 号筛选条件(类别2), 条件范围(13:47:51~13:47:54), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,317 - walk - INFO - (sp mode) 第 443 号筛选条件(类别2), 条件范围(13:48:41~13:48:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,326 - walk - INFO - (sp mode) 第 446 号筛选条件(类别2), 条件范围(13:50:08~13:50:09), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,331 - walk - INFO - (sp mode) 第 448 号筛选条件(类别2), 条件范围(13:56:30~13:56:32), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,337 - walk - INFO - (sp mode) 第 451 号筛选条件(类别2), 条件范围(13:57:20~13:57:23), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-18 22:55:07,347 - walk - INFO - (sp mode) 第 456 号筛选条件(类别2), 条件范围(13:59:09~13:59:12), 耗时 0.0 秒, 筛选结果为 0 条数据
