2021-09-19 08:57:38,917 - walk - INFO - 
2021-09-19 08:59:07,754 - walk - INFO - (sp mode) 第 2 号筛选条件(类别2), 条件范围(08:29:30~08:29:34), 耗时 15.03 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,766 - walk - INFO - (sp mode) 第 4 号筛选条件(类别2), 条件范围(08:29:59~08:30:04), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,783 - walk - INFO - (sp mode) 第 7 号筛选条件(类别2), 条件范围(08:33:00~08:33:05), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,788 - walk - INFO - (sp mode) 第 8 号筛选条件(类别2), 条件范围(08:33:07~08:33:10), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,798 - walk - INFO - (sp mode) 第 10 号筛选条件(类别2), 条件范围(08:34:06~08:34:16), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,808 - walk - INFO - (sp mode) 第 12 号筛选条件(类别2), 条件范围(08:34:27~08:34:35), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,813 - walk - INFO - (sp mode) 第 13 号筛选条件(类别2), 条件范围(08:34:36~08:34:43), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,823 - walk - INFO - (sp mode) 第 15 号筛选条件(类别2), 条件范围(08:34:49~08:34:53), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,834 - walk - INFO - (sp mode) 第 17 号筛选条件(类别2), 条件范围(08:34:59~08:35:02), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,848 - walk - INFO - (sp mode) 第 20 号筛选条件(类别2), 条件范围(08:35:17~08:35:19), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,857 - walk - INFO - (sp mode) 第 22 号筛选条件(类别2), 条件范围(08:35:23~08:35:28), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,870 - walk - INFO - (sp mode) 第 24 号筛选条件(类别2), 条件范围(08:35:35~08:35:39), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,894 - walk - INFO - (sp mode) 第 28 号筛选条件(类别2), 条件范围(08:37:08~08:37:13), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,914 - walk - INFO - (sp mode) 第 32 号筛选条件(类别2), 条件范围(08:37:49~08:37:50), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,927 - walk - INFO - (sp mode) 第 35 号筛选条件(类别2), 条件范围(08:39:07~08:39:25), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,947 - walk - INFO - (sp mode) 第 40 号筛选条件(类别2), 条件范围(08:44:30~08:44:33), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,965 - walk - INFO - (sp mode) 第 43 号筛选条件(类别2), 条件范围(08:45:04~08:45:06), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,984 - walk - INFO - (sp mode) 第 45 号筛选条件(类别2), 条件范围(08:45:29~08:45:33), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:07,995 - walk - INFO - (sp mode) 第 47 号筛选条件(类别2), 条件范围(08:46:27~08:46:31), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,005 - walk - INFO - (sp mode) 第 49 号筛选条件(类别2), 条件范围(08:46:46~08:46:47), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,016 - walk - INFO - (sp mode) 第 51 号筛选条件(类别2), 条件范围(08:47:26~08:47:29), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,030 - walk - INFO - (sp mode) 第 53 号筛选条件(类别2), 条件范围(08:47:37~08:47:38), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,049 - walk - INFO - (sp mode) 第 55 号筛选条件(类别2), 条件范围(08:48:58~08:49:05), 耗时 0.01 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,078 - walk - INFO - (sp mode) 第 59 号筛选条件(类别2), 条件范围(08:50:15~08:50:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,108 - walk - INFO - (sp mode) 第 64 号筛选条件(类别2), 条件范围(08:58:57~08:58:58), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,134 - walk - INFO - (sp mode) 第 69 号筛选条件(类别2), 条件范围(09:18:15~09:18:22), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,146 - walk - INFO - (sp mode) 第 72 号筛选条件(类别2), 条件范围(09:19:16~09:19:17), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,158 - walk - INFO - (sp mode) 第 76 号筛选条件(类别2), 条件范围(09:20:43~09:20:44), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,173 - walk - INFO - (sp mode) 第 78 号筛选条件(类别2), 条件范围(09:20:57~09:20:58), 耗时 0.0 秒, 筛选结果为 0 条数据
2021-09-19 08:59:08,184 - walk - INFO - (sp mode) 第 80 号筛选条件(类别2), 条件范围(09:21:08~09:21:11), 耗时 0.0 秒, 筛选结果为 0 条数据
